74
0;0;31
0;0;34
0;0;15
1;1;19
1;1;27
1;1;29
2;2;27
2;2;13
3;3;29
4;4;15
4;4;25
5;5;17
5;5;15
5;5;10
6;6;8
6;6;5
7;7;12
8;8;12
8;8;23
8;8;12
9;9;18
9;9;33
10;10;16
11;11;17
12;12;8
12;12;31
12;12;32
13;13;9
13;13;6
14;14;24
15;15;21
15;15;26
15;15;20
16;16;27
17;17;19
17;17;11
18;18;16
18;18;26
19;19;3
19;19;34
19;19;7
20;20;18
21;21;9
21;21;14
21;21;1
22;22;12
22;22;32
23;23;25
23;23;20
23;23;17
24;24;4
24;24;2
25;25;17
25;25;17
25;25;13
26;26;4
26;26;8
27;27;1
27;27;15
27;27;28
28;28;25
28;28;5
28;28;5
29;29;26
29;29;19
29;29;26
30;30;33
31;31;28
32;32;14
33;33;13
33;33;3
34;34;2
34;34;23
34;34;15
